likes,talking_about_count,created_at
1903753,32858,2012-08-04 00:00:35 +0000
1904857,38388,2012-08-05 00:01:03 +0000
1905961,38388,2012-08-06 00:00:57 +0000
1907036,38388,2012-08-07 00:00:54 +0000
1908185,37071,2012-08-08 00:00:55 +0000
1909303,37071,2012-08-09 00:00:33 +0000
1910455,31312,2012-08-10 00:00:32 +0000
1911386,31312,2012-08-11 00:00:30 +0000
1913359,24795,2012-08-12 00:01:22 +0000
1915708,22942,2012-08-13 00:00:45 +0000
1918895,24562,2012-08-14 00:00:44 +0000
1920764,24562,2012-08-15 00:00:29 +0000
1922258,24562,2012-08-16 00:00:29 +0000
1923609,27599,2012-08-17 00:00:29 +0000
1924475,31720,2012-08-18 00:00:41 +0000
1925434,33138,2012-08-19 00:00:28 +0000
1926577,33138,2012-08-20 00:00:34 +0000
1927676,33138,2012-08-21 00:00:28 +0000
1928468,33720,2012-08-22 00:00:30 +0000
1929997,29790,2012-08-23 00:00:29 +0000
1933777,31260,2012-08-24 00:00:27 +0000
1937253,30287,2012-08-25 00:00:26 +0000
1939026,59725,2012-08-26 00:00:23 +0000
1940583,59725,2012-08-27 00:00:38 +0000
1941921,59725,2012-08-28 00:00:34 +0000
1943333,71825,2012-08-29 00:00:26 +0000
1944661,73110,2012-08-30 00:00:43 +0000
1946099,69686,2012-08-31 00:00:21 +0000
1947217,77180,2012-09-01 00:00:40 +0000
1948365,49760,2012-09-02 00:00:19 +0000
1949558,44293,2012-09-03 00:00:32 +0000
1950594,40414,2012-09-04 00:00:21 +0000
1951713,39642,2012-09-05 00:00:33 +0000
1952905,36502,2012-09-06 00:00:21 +0000
1954208,38348,2012-09-07 00:00:31 +0000
1955381,39595,2012-09-08 00:00:33 +0000
1956448,39023,2012-09-09 00:00:31 +0000
1957586,39023,2012-09-10 00:00:42 +0000
1958728,39172,2012-09-11 00:00:33 +0000
1959919,39172,2012-09-12 00:00:20 +0000
1961333,40194,2012-09-13 00:00:18 +0000
1962621,38783,2012-09-14 00:00:26 +0000
1963814,38783,2012-09-15 00:00:23 +0000
1965028,27289,2012-09-16 00:00:17 +0000
1966234,32887,2012-09-17 00:00:30 +0000
1967265,31456,2012-09-18 00:00:20 +0000
1968457,31456,2012-09-19 00:00:26 +0000
1969659,32818,2012-09-20 00:00:16 +0000
1970903,32267,2012-09-21 00:00:33 +0000
1972228,36092,2012-09-22 00:00:20 +0000
1973539,37274,2012-09-23 00:00:32 +0000
1974748,37274,2012-09-24 00:00:17 +0000
1975842,39627,2012-09-25 00:00:29 +0000
1976755,39882,2012-09-26 00:00:37 +0000
1977618,37977,2012-09-27 00:00:44 +0000
1978397,37977,2012-09-28 00:00:20 +0000
1979024,35920,2012-09-29 00:00:18 +0000
1979684,32387,2012-09-30 00:00:37 +0000
1980670,26109,2012-10-01 00:00:20 +0000
1981206,23322,2012-10-02 00:00:20 +0000
1982186,22909,2012-10-03 00:00:22 +0000
1983550,24951,2012-10-04 00:00:22 +0000
1984909,24274,2012-10-05 00:00:18 +0000
1986276,23347,2012-10-06 00:00:33 +0000
1987696,22677,2012-10-07 00:00:31 +0000
1989032,25925,2012-10-08 00:00:18 +0000
1990239,27392,2012-10-09 00:00:30 +0000
