likes,talking_about_count,created_at
18350047,373898,2012-07-19 00:00:45 +0000
18366490,373898,2012-07-20 00:01:07 +0000
18381135,437457,2012-07-21 00:00:43 +0000
18394444,437457,2012-07-22 00:00:43 +0000
18406619,453647,2012-07-23 00:00:41 +0000
18419215,449073,2012-07-24 00:11:13 +0000
18431926,350103,2012-07-25 00:01:19 +0000
18443213,350103,2012-07-26 00:01:29 +0000
18455108,249866,2012-07-27 00:01:04 +0000
18468380,173041,2012-07-28 00:01:51 +0000
18481302,173041,2012-07-29 00:00:45 +0000
18492978,173041,2012-07-30 00:01:50 +0000
18504724,138125,2012-07-31 00:01:08 +0000
18515695,137109,2012-08-01 00:00:38 +0000
18525536,137109,2012-08-02 00:00:36 +0000
18535047,126977,2012-08-03 00:00:28 +0000
18546206,126977,2012-08-04 00:00:31 +0000
18557886,122021,2012-08-05 00:00:59 +0000
18568800,122021,2012-08-06 00:00:54 +0000
18580216,122021,2012-08-07 00:00:50 +0000
18591361,125687,2012-08-08 00:00:51 +0000
18602116,123537,2012-08-09 00:00:29 +0000
18612858,132881,2012-08-10 00:00:28 +0000
18625108,141231,2012-08-11 00:00:27 +0000
18636080,145598,2012-08-12 00:01:19 +0000
18648111,153573,2012-08-13 00:00:37 +0000
18658860,157424,2012-08-14 00:00:40 +0000
18671688,157424,2012-08-15 00:00:25 +0000
18684889,158510,2012-08-16 00:00:25 +0000
18694125,172068,2012-08-17 00:00:23 +0000
18701913,180053,2012-08-18 00:00:37 +0000
18707512,173413,2012-08-19 00:00:24 +0000
18714524,173413,2012-08-20 00:00:31 +0000
18721626,173413,2012-08-21 00:00:25 +0000
18726604,174537,2012-08-22 00:00:27 +0000
18734299,153762,2012-08-23 00:00:24 +0000
18742024,149396,2012-08-24 00:00:23 +0000
18749692,130690,2012-08-25 00:00:23 +0000
18756849,133235,2012-08-26 00:00:20 +0000
18764208,133235,2012-08-27 00:00:34 +0000
18771140,133235,2012-08-28 00:00:30 +0000
18778046,105174,2012-08-29 00:00:23 +0000
18785517,100240,2012-08-30 00:00:39 +0000
18792453,98890,2012-08-31 00:00:18 +0000
18799107,102326,2012-09-01 00:00:36 +0000
18806076,96060,2012-09-02 00:00:15 +0000
18813303,93120,2012-09-03 00:00:28 +0000
18820196,93329,2012-09-04 00:00:18 +0000
18826728,93568,2012-09-05 00:00:29 +0000
18831980,92893,2012-09-06 00:00:17 +0000
18838349,91551,2012-09-07 00:00:27 +0000
18843840,86108,2012-09-08 00:00:29 +0000
18849317,90257,2012-09-09 00:00:28 +0000
18855172,90257,2012-09-10 00:00:37 +0000
18860480,95692,2012-09-11 00:00:27 +0000
18866215,95692,2012-09-12 00:00:17 +0000
18871902,94115,2012-09-13 00:00:14 +0000
18877884,113876,2012-09-14 00:00:22 +0000
