likes,talking_about_count,created_at
958240,5786,2012-11-15 00:00:35 +0000
958549,7224,2012-11-16 00:00:45 +0000
958843,6843,2012-11-17 00:00:36 +0000
959126,6843,2012-11-18 00:00:30 +0000
959436,6880,2012-11-19 00:00:29 +0000
959751,6880,2012-11-20 00:00:29 +0000
960058,6953,2012-11-21 00:01:13 +0000
960279,4657,2012-11-22 00:01:01 +0000
960492,5147,2012-11-23 00:00:53 +0000
960720,5116,2012-11-24 00:00:48 +0000
961014,5176,2012-11-25 00:00:48 +0000
961332,5199,2012-11-26 00:00:50 +0000
961674,5203,2012-11-27 00:01:01 +0000
962039,5203,2012-11-28 00:00:50 +0000
962397,5203,2012-11-29 00:00:48 +0000
962776,5203,2012-11-30 00:00:47 +0000
963142,5203,2012-12-01 00:00:46 +0000
963457,5203,2012-12-02 00:01:10 +0000
963740,5203,2012-12-03 00:00:49 +0000
964098,3941,2012-12-04 00:01:03 +0000
964445,3871,2012-12-05 00:00:54 +0000
964826,4067,2012-12-06 00:00:44 +0000
965214,4036,2012-12-07 00:00:43 +0000
965565,4036,2012-12-08 00:00:44 +0000
965902,4291,2012-12-09 00:00:45 +0000
966267,4669,2012-12-10 00:00:44 +0000
966699,4710,2012-12-11 00:00:41 +0000
967076,4790,2012-12-12 00:00:54 +0000
967463,4624,2012-12-13 00:00:55 +0000
967788,4624,2012-12-14 00:00:49 +0000
968071,4559,2012-12-15 00:01:09 +0000
968413,4559,2012-12-16 00:01:05 +0000
968773,4046,2012-12-17 00:00:51 +0000
969186,4040,2012-12-18 00:01:04 +0000
969517,4070,2012-12-19 00:00:50 +0000
969785,4661,2012-12-20 00:00:45 +0000
970027,4599,2012-12-21 00:01:03 +0000
970277,4481,2012-12-22 00:00:51 +0000
970470,4481,2012-12-23 00:00:30 +0000
970625,5411,2012-12-24 00:00:30 +0000
970762,5277,2012-12-25 00:00:27 +0000
970893,5038,2012-12-26 00:00:41 +0000
971049,4163,2012-12-27 00:00:48 +0000
971165,3940,2012-12-28 00:01:00 +0000
971354,3805,2012-12-29 00:00:47 +0000
971560,3135,2012-12-30 00:00:46 +0000
971797,3091,2012-12-31 00:01:15 +0000
971972,3147,2013-01-01 00:00:55 +0000
972112,3220,2013-01-02 00:01:00 +0000
972288,3483,2013-01-03 00:00:43 +0000
972510,3578,2013-01-04 00:01:03 +0000
972747,3680,2013-01-05 00:00:40 +0000
972938,3765,2013-01-06 00:00:55 +0000
973291,3979,2013-01-07 00:01:00 +0000
973574,4248,2013-01-08 00:00:59 +0000
973799,4403,2013-01-09 00:01:01 +0000
974134,4264,2013-01-10 00:02:42 +0000
974463,4333,2013-01-11 00:00:55 +0000
974770,4478,2013-01-12 00:00:42 +0000
975045,4352,2013-01-13 00:00:38 +0000
975245,4045,2013-01-14 00:00:42 +0000
975471,3782,2013-01-15 00:00:40 +0000
975712,3612,2013-01-16 00:00:38 +0000
975908,3992,2013-01-17 00:00:36 +0000
976070,4025,2013-01-18 00:00:39 +0000
976383,3832,2013-01-19 00:00:36 +0000
976698,3556,2013-01-20 00:00:55 +0000
977048,3666,2013-01-21 00:00:36 +0000
977402,3756,2013-01-22 00:00:34 +0000
977742,3913,2013-01-23 00:00:53 +0000
978061,3940,2013-01-24 00:00:39 +0000
978426,4080,2013-01-25 00:00:53 +0000
978952,4080,2013-01-26 00:00:38 +0000
979426,4080,2013-01-27 00:00:33 +0000
979977,4080,2013-01-28 00:00:38 +0000
980708,4080,2013-01-29 00:00:43 +0000
981331,5188,2013-01-30 00:00:51 +0000
981837,5485,2013-01-31 00:00:34 +0000
982351,5756,2013-02-01 00:00:31 +0000
982871,5756,2013-02-02 00:00:46 +0000
983319,5348,2013-02-03 00:00:28 +0000
983673,5348,2013-02-04 00:00:50 +0000
983904,5696,2013-02-05 00:00:29 +0000
984332,6019,2013-02-06 00:00:30 +0000
984814,6019,2013-02-07 00:00:31 +0000
985275,5690,2013-02-08 00:00:33 +0000
985714,5985,2013-02-09 00:00:25 +0000
986114,5684,2013-02-10 00:00:27 +0000
986553,5280,2013-02-11 00:00:42 +0000
987032,5240,2013-02-12 00:00:26 +0000
987562,5257,2013-02-13 00:00:28 +0000
988063,5257,2013-02-14 00:00:45 +0000
988467,4814,2013-02-15 00:00:46 +0000
988952,4978,2013-02-16 00:00:44 +0000
989376,5177,2013-02-17 00:00:32 +0000
989809,5177,2013-02-18 00:00:31 +0000
990340,5177,2013-02-19 00:00:30 +0000
990867,5177,2013-02-20 00:00:31 +0000
991410,5005,2013-02-21 00:00:32 +0000
991910,5005,2013-02-22 00:00:32 +0000
992511,5005,2013-02-23 00:00:31 +0000
993394,4989,2013-02-24 00:00:27 +0000
994129,5175,2013-02-25 00:00:31 +0000
994774,5593,2013-02-26 00:00:29 +0000
995404,5593,2013-02-27 00:00:27 +0000
996007,5806,2013-02-28 00:00:28 +0000
996654,5806,2013-03-01 00:00:26 +0000
997205,5806,2013-03-02 00:00:32 +0000
997792,6349,2013-03-03 00:00:27 +0000
998320,6444,2013-03-04 00:00:25 +0000
998861,6315,2013-03-05 00:00:26 +0000
999550,6038,2013-03-06 00:00:27 +0000
1000060,5936,2013-03-07 00:00:21 +0000
1000551,5691,2013-03-08 00:00:17 +0000
1001077,5676,2013-03-09 00:00:21 +0000
1001486,5526,2013-03-10 00:00:24 +0000
