likes,talking_about_count,created_at
276056,8215,2012-12-03 00:00:35 +0000
276075,5366,2012-12-04 00:00:49 +0000
276132,3145,2012-12-05 00:00:38 +0000
276180,2665,2012-12-06 00:00:31 +0000
276213,2634,2012-12-07 00:00:30 +0000
276338,2634,2012-12-08 00:00:30 +0000
276413,3030,2012-12-09 00:00:32 +0000
276506,3030,2012-12-10 00:00:30 +0000
276665,3429,2012-12-11 00:00:27 +0000
277344,3429,2012-12-12 00:00:37 +0000
278306,4572,2012-12-13 00:00:34 +0000
281684,4572,2012-12-14 00:01:02 +0000
284625,7436,2012-12-15 00:01:21 +0000
286623,7436,2012-12-16 00:01:17 +0000
288391,14112,2012-12-17 00:01:03 +0000
289264,14112,2012-12-18 00:01:16 +0000
289639,17595,2012-12-19 00:01:03 +0000
290778,17595,2012-12-20 00:00:57 +0000
293509,17403,2012-12-21 00:01:15 +0000
295742,16785,2012-12-22 00:01:03 +0000
296382,16174,2012-12-23 00:00:38 +0000
297216,14066,2012-12-24 00:00:37 +0000
297782,12459,2012-12-25 00:00:34 +0000
298154,11078,2012-12-26 00:00:48 +0000
298673,11078,2012-12-27 00:01:00 +0000
299038,10827,2012-12-28 00:01:12 +0000
299461,10827,2012-12-29 00:00:58 +0000
299878,9566,2012-12-30 00:00:58 +0000
300365,5136,2012-12-31 00:01:31 +0000
300998,5136,2013-01-01 00:01:06 +0000
301503,4743,2013-01-02 00:01:11 +0000
302041,4743,2013-01-03 00:00:54 +0000
302524,4497,2013-01-04 00:01:15 +0000
303318,4645,2013-01-05 00:00:52 +0000
304548,4566,2013-01-06 00:01:06 +0000
305282,4614,2013-01-07 00:01:11 +0000
305765,4825,2013-01-08 00:01:11 +0000
306585,5751,2013-01-09 00:01:12 +0000
306966,5751,2013-01-10 00:02:53 +0000
308876,5907,2013-01-11 00:01:06 +0000
310793,6423,2013-01-12 00:00:55 +0000
311175,8790,2013-01-13 00:00:49 +0000
311907,8790,2013-01-14 00:00:54 +0000
312572,9141,2013-01-15 00:00:52 +0000
313323,8208,2013-01-16 00:00:49 +0000
313820,8182,2013-01-17 00:00:47 +0000
315275,8157,2013-01-18 00:00:51 +0000
315669,8157,2013-01-19 00:00:49 +0000
316140,9171,2013-01-20 00:01:07 +0000
316563,6883,2013-01-21 00:00:48 +0000
316732,6246,2013-01-22 00:00:45 +0000
316752,6385,2013-01-23 00:01:04 +0000
316843,6016,2013-01-24 00:00:51 +0000
316864,5244,2013-01-25 00:01:04 +0000
316852,4468,2013-01-26 00:00:49 +0000
316836,4468,2013-01-27 00:00:44 +0000
316850,4468,2013-01-28 00:00:49 +0000
316860,4468,2013-01-29 00:00:54 +0000
316850,4468,2013-01-30 00:01:02 +0000
316858,1948,2013-01-31 00:00:45 +0000
316846,1938,2013-02-01 00:00:43 +0000
316834,1938,2013-02-02 00:00:57 +0000
316823,1938,2013-02-03 00:00:39 +0000
316832,1112,2013-02-04 00:01:02 +0000
316802,1255,2013-02-05 00:00:40 +0000
316796,1262,2013-02-06 00:00:41 +0000
316798,1262,2013-02-07 00:00:42 +0000
316813,1211,2013-02-08 00:00:45 +0000
316844,1181,2013-02-09 00:00:36 +0000
316840,1043,2013-02-10 00:00:37 +0000
316861,923,2013-02-11 00:00:52 +0000
316863,927,2013-02-12 00:00:37 +0000
316884,968,2013-02-13 00:00:39 +0000
316883,970,2013-02-14 00:00:56 +0000
316907,967,2013-02-15 00:01:00 +0000
316913,998,2013-02-16 00:00:55 +0000
316923,1015,2013-02-17 00:00:44 +0000
316925,1015,2013-02-18 00:00:42 +0000
316948,1015,2013-02-19 00:00:41 +0000
316950,1015,2013-02-20 00:00:43 +0000
316965,1547,2013-02-21 00:00:43 +0000
316993,1511,2013-02-22 00:00:43 +0000
317022,1511,2013-02-23 00:00:42 +0000
317040,1595,2013-02-24 00:00:38 +0000
317072,1530,2013-02-25 00:00:43 +0000
317099,1536,2013-02-26 00:00:40 +0000
317140,1536,2013-02-27 00:00:38 +0000
317191,1049,2013-02-28 00:00:41 +0000
318251,1049,2013-03-01 00:00:40 +0000
319957,1049,2013-03-02 00:00:46 +0000
322188,1015,2013-03-03 00:00:51 +0000
323580,2482,2013-03-04 00:00:39 +0000
325254,4287,2013-03-05 00:00:36 +0000
327677,5970,2013-03-06 00:00:39 +0000
329405,10162,2013-03-07 00:00:31 +0000
330858,12078,2013-03-08 00:00:27 +0000
332374,13430,2013-03-09 00:00:31 +0000
333658,13620,2013-03-10 00:00:33 +0000
334899,13607,2013-03-11 00:00:29 +0000
336182,13204,2013-03-12 00:00:32 +0000
337438,13204,2013-03-13 00:00:47 +0000
337955,13204,2013-03-14 00:00:30 +0000
343773,13204,2013-03-15 00:00:31 +0000
350237,11870,2013-03-16 00:00:43 +0000
356337,10947,2013-03-17 00:00:44 +0000
362518,10947,2013-03-18 00:00:49 +0000
368188,10947,2013-03-19 00:00:29 +0000
372841,11937,2013-03-20 00:00:46 +0000
376982,21940,2013-03-21 00:00:43 +0000
381569,26926,2013-03-22 00:00:41 +0000
385428,31979,2013-03-23 00:00:22 +0000
389067,41899,2013-03-24 00:00:36 +0000
392986,39766,2013-03-25 00:00:29 +0000
397463,37482,2013-03-26 00:00:25 +0000
